2025-10-20 17:22:51.519 [main] INFO  com.hacom.telecom.order_processing_service.OrderProcessingServiceApplication - Starting OrderProcessingServiceApplication using Java 17.0.16 with PID 182675 (/home/hdez/hacom-proyects/order-processing-service/build/classes/java/main started by hdez in /home/hdez/hacom-proyects/order-processing-service)
2025-10-20 17:22:55.846 [main] INFO  net.devh.boot.grpc.server.serverfactory.GrpcServerLifecycle - gRPC Server started, listening on address: *, port: 9090
2025-10-20 17:22:55.869 [main] INFO  com.hacom.telecom.order_processing_service.OrderProcessingServiceApplication - Started OrderProcessingServiceApplication in 4.8 seconds (process running for 5.816)
2025-10-20 17:23:05.689 [Thread-6] INFO  com.hacom.telecom.order_processing_service.service.OrderService - Order with orderId 'ORD-001' already exists. Returning existing order with status: PROCESSING
2025-10-20 17:23:05.692 [OrderProcessingSystem-akka.actor.default-dispatcher-4] INFO  com.hacom.telecom.order_processing_service.service.SmppClientService - Sending order notification SMS to +52-999-888-7777: Your order ORD-001 has been processed
2025-10-20 17:23:05.697 [OrderProcessingSystem-akka.actor.default-dispatcher-4] INFO  com.cloudhopper.smpp.impl.DefaultSmppSession - sync send PDU: (submit_sm: 0x0000005A 0x00000004 0x00000000 0x00000002) (body: (serviceType [] sourceAddr [0x01 0x01 [1234]] destAddr [0x01 0x01 [+52-999-888-7777]] esmCls [0x00] regDlvry [0x00] dcs [0x00] message [596F7572206F72646572204F52442D30303120686173206265656E2070726F636573736564])) (opts: )
2025-10-20 17:23:05.698 [OrderProcessingSession] INFO  com.cloudhopper.smpp.impl.DefaultSmppSession - received PDU: (submit_sm_resp: 0x0000001C 0x80000004 0x00000000 0x00000002 result: "OK") (body: (messageId [MSG00000020])) (opts: )
2025-10-20 17:23:05.698 [OrderProcessingSystem-akka.actor.default-dispatcher-4] INFO  com.hacom.telecom.order_processing_service.service.SmppClientService - SMS sent successfully to +52-999-888-7777. Message ID: MSG00000020
2025-10-20 17:23:05.699 [OrderProcessingSystem-akka.actor.default-dispatcher-4] INFO  com.hacom.telecom.order_processing_service.service.SmppClientService - Order notification SMS sent successfully for order ORD-001
2025-10-20 17:24:03.435 [reactor-http-epoll-2] INFO  com.hacom.telecom.order_processing_service.controller.OrderController - GET /api/v1/orders/ORD-001/status - Querying order status
2025-10-20 17:24:03.442 [Thread-14] INFO  com.hacom.telecom.order_processing_service.controller.OrderController - Order found: ORD-001 with status: PROCESSING
